"sn","id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID","GARD Rare","Symbol","UniProt","Disease Data Source","JensenLab TextMining zscore","JensenLab Confidence","Expression Atlas Log2 Fold Change","DisGeNET Score","Associated Disease Evidence","Associated Disease Drug Name","Associated Disease P-value","Associated Disease Source","Associated Disease Source ID","Monarch S2O", "diseases_name", "symptoms_1", "symptoms_2", "symptoms_3", "symptoms_4", "symptoms_5", "symptoms_6", "symptoms_7", "symptoms_8", "symptoms_9", "description", "symptoms_description", "causes_description", "causes_1", "causes_2", "causes_3", "causes_4", "causes_5", "treatment_1", "treatment_2", "treatment_3", "prevention_1", "prevention_2", "prevention_3", "risk_factor", "age_of_onset", "genetic_factors", "family_history", "severity_of_disease", "diagnosis_methods", "complications", "epidemiology", "prognosis""8809","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","VAV1","P15498","CTD","NAN","NAN","NAN","NAN","marker/mechanism","NAN","NAN","NAN","DOID:3864","NAN","medulloblastoma","headache","nausea","vomiting","blurred vision","double vision","dizziness","loss of balance","difficulty walking","seizures","Medulloblastoma is a type of brain cancer that primarily affects children, but it can also occur in adults. It originates in the cerebellum, the part of the brain that controls balance and coordination.","Symptoms of medulloblastoma can vary depending on the size and location of the tumor, as well as the age of the patient. Common symptoms include headache, nausea, vomiting, blurred or double vision, dizziness, loss of balance, difficulty walking, and seizures.","The exact causes of medulloblastoma are not fully understood. However, genetic factors and certain inherited conditions are known to increase the risk of developing this type of brain cancer.","Genetic mutations","Inherited conditions such as Gorlin syndrome","Exposure to radiation","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Regular checkups with a doctor","Genetic counseling for individuals with a family history of medulloblastoma","Avoiding exposure to radiation","Genetic predisposition","Adulthood","Genetic mutations in certain genes, such as PTCH1, TP53, and APC","Family history of medulloblastoma or other related cancers","Severity can vary depending on the subtype and stage of the tumor","MRI scans@ computed tomography (CT) scans@ and neurological examinations","Hydrocephalus@ neurological deficits@ and recurrence of the tumor","Medulloblastoma is a rare type of brain cancer, accounting for about 1-2% of all brain tumors in adults","The prognosis for adult medulloblastoma varies depending on factors such as the subtype of the tumor@ the extent of the spread@ and the patient's overall health."
"1","8810","adult medulloblastoma","A malignant medulloblastoma that arises in adults.","The product of this gene is a multifunctional protein involved in a variety of cellular processes, including cell adhesion, cell migration, cell polarity, and gene transcription. It is a tumor suppressor gene and mutations in this gene are associated with several types of cancer.","43","43","MONDO:0002794","NAN","APC","P25054","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","Adult Medulloblastoma","Headaches","Nausea","Vomiting","Blurred vision","Double vision","Unsteadiness","Clumsiness","Seizures","Changes in personality or behavior","Adult medulloblastoma is a type of brain tumor that occurs in adults. It is a fast-growing tumor that can spread to other parts of the brain and spinal cord.","Symptoms may include headache, nausea, vomiting, blurred vision, double vision, unsteadiness, clumsiness, seizures, and changes in personality or behavior.","The exact causes of adult medulloblastoma are not fully understood. However, genetic factors and exposure to certain environmental factors may play a role.","Genetic mutations","Exposure to radiation","Exposure to certain chemicals","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Regular checkups","Avoiding exposure to radiation","Maintaining a healthy lifestyle","Family history of brain tumors","Age over 21","NAN","NAN","High","Neurological examination","MRI scan","Hydrocephalus","Cognitive impairment","Motor deficits","Relatively poor, depending on the stage of the tumor and the patient's overall health.","Poor"
"8811","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","ATOH1","Q92858","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","medulloblastoma","headache","nausea","vomiting","blurred vision","dizziness","balance problems","clumsiness","fatigue","seizures","Adult medulloblastoma is a rare brain tumor that originates in the cerebellum, affecting balance and coordination. It can cause various neurological symptoms.","Symptoms include headache, nausea, vomiting, blurred vision, dizziness, balance problems, clumsiness, fatigue, and seizures.","Genetic mutations and certain inherited conditions can increase the risk of adult medulloblastoma.","Genetic mutations@ such as those affecting the SHH pathway","Inherited conditions@ such as Gorlin syndrome","Exposure to radiation","Environmental factors","NAN","Surgery to remove the tumor","Radiation therapy","Chemotherapy","Avoiding exposure to radiation","Genetic counseling for high-risk individuals","Regular neurological check-ups","Exposure to radiation","Adults (typically over 20 years old)","Genetic mutations in genes like PTCH1, TP53, and APC","Family history of brain tumors may increase the risk","Can range from mild to severe@ depending on the tumor size@ location@ and response to treatment","Neurological examination","MRI scans","Biopsy","Motor deficits","Cognitive impairment","Hydrocephalus","Incidence is rare@ accounting for a small percentage of all brain tumors in adults","Variable@ depending on the extent of tumor removal@ response to treatment@ and overall health","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"1","8812","adult medulloblastoma","A malignant embryonal tumor typically occurring in adults@ arising from the cerebellum.","The protein encoded by this gene is involved in DNA repair and homologous recombination. It acts as a tumor suppressor@ playing a role in maintaining genomic stability. Mutations in this gene are associated with an increased risk of certain cancers.","43","43","MONDO:0002794","NAN","BRCA2","P51587","DisGeNET","NAN","NAN","NAN","0.3","0 SNPs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","Adult Medulloblastoma","Headache","Nausea","Vomiting","Blurred Vision","Balance Problems","Difficulty Walking","Clumsiness","Fatigue","Seizures","A type of brain tumor that originates in the cerebellum@ usually affecting adults.","Symptoms include headaches@ nausea@ vomiting@ vision changes@ balance issues@ and difficulty walking.","The exact causes are not fully understood@ but it is believed to involve genetic factors and mutations in certain genes like BRCA2.","Genetic mutations","Family history of cancer","Exposure to radiation","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Avoid radiation exposure","Genetic counseling for families with a history of cancer","NAN","NAN","Later age","Mutations in genes like BRCA2","Family history of medulloblastoma or other cancers","Severity can vary depending on tumor size@ location@ and response to treatment.","Neurological examination@ MRI scans@ biopsy","Hydrocephalus@ neurological deficits@ recurrence of tumor","Rare tumor@ incidence varies by age and region","Prognosis varies depending on factors like tumor type@ extent of spread@ and patient's overall health."
"8813","405","adult medulloblastoma","A type of medulloblastoma that arises in adults. Medulloblastoma is an embryonal tumor that arises in the cerebellum and consists of poorly differentiated or undifferentiated cells.@ The tumor is thought to arise from immature cells in the posterior medullary velum or from the external granular layer.","Cyclin E1 is a protein that in humans is encoded by the CCNE1 gene. It regulates the G1/S phase transition of the cell cycle.","43","43","MONDO:0002794","NAN","CCNE1","P24864","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","medulloblastoma","headaches","nausea","vomiting","blurred vision","dizziness","fatigue","difficulty walking","clumsiness","seizures","Medulloblastoma is a type of brain cancer that starts in the cerebellum.@ the lower back part of the brain that is involved in muscle control.@ balance and coordination.","Medulloblastoma symptoms vary depending on tumor size and location.@ but common symptoms include headache@ nausea@ vomiting@ dizziness@ fatigue@ difficulty walking@ and blurred vision.","The exact causes of adult medulloblastoma are not fully understood@ but genetic factors and exposure to certain environmental toxins may increase the risk.","Genetic mutations","Environmental toxins","Radiation exposure","Weakened immune system","NAN","Surgery","Radiation therapy","Chemotherapy","NAN","NAN","NAN","Exposure to radiation@ genetic predisposition@ and certain inherited syndromes.","Adult onset@ typically between 20 and 40 years of age.","Mutations in genes involved in cell growth and development.","Family history of brain tumors.","Ranges from low-grade to high-grade@ depending on the tumor's characteristics.","MRI@ CT scan@ biopsy.","Hydrocephalus@ neurological deficits@ recurrence.","Rare tumor@ but more common in children.","Depends on the tumor's characteristics and response to treatment."
"8814","405","adult medulloblastoma","A type of medulloblastoma primarily affecting adults.","Cyclin-dependent kinase 6 (CDK6) is a protein kinase that regulates cell cycle progression.@ particularly G1 phase progression.","43","43","MONDO:0002794","NAN","CDK6","Q00534","DisGeNET","NAN","NAN","NAN","0.3","2 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","Headache","Nausea","Vomiting","Blurred Vision","Double Vision","Difficulty Walking","Clumsiness","Seizures","NAN","Adult medulloblastoma is a cancerous tumor that forms in the cerebellum@ a part of the brain located at the base of the skull. It can cause a variety of symptoms@ depending on its size and location.","Symptoms can include headaches@ nausea@ vomiting@ vision problems@ and difficulty walking.","The exact cause of adult medulloblastoma is unknown@ but genetic mutations are believed to play a role.","Genetic Predisposition","Exposure to Radiation","Environmental Factors","NAN","NAN","Surgery","Radiation Therapy","Chemotherapy","Regular Checkups","Genetic Counseling","Avoidance of Radiation","NAN","Adulthood (typically 20-40 years)","Genetic mutations (e.g.@ PTCH1@ TP53)","Family history of brain tumors may increase risk.","Variable@ depending on the aggressiveness of the tumor.","Neurological Examination","MRI Scan","Biopsy","Hydrocephalus","Seizures","Cognitive Impairment","Estimated incidence of 0.5-1 per 100@000 adults.","Variable@ depending on treatment response and tumor characteristics."
"8815","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","CTNNB1","P35222","DisGeNET","NAN","NAN","NAN","0.3","0 SNPs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","Adult medulloblastoma is a type of brain tumor that occurs in adults.","Adult medulloblastoma can present with a variety of symptoms, including headaches@ nausea@ vomiting@ and problems with balance and coordination.","The exact cause of adult medulloblastoma is not fully understood, but genetic factors and exposure to radiation may play a role.","Genetic mutations","Radiation exposure","NAN","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Avoid radiation exposure","Genetic counseling","Healthy lifestyle","NAN","Adult","Genetic mutations in genes such as CTNNB1","Family history of brain tumors","Variable","MRI scans@ CT scans@ and biopsies","Hydrocephalus@ neurological deficits@ and recurrence of the tumor","Adult medulloblastoma is a rare tumor, accounting for a small percentage of all brain tumors in adults.","The prognosis for adult medulloblastoma varies depending on factors such as the size and location of the tumor@ the patient's age and overall health@ and the treatment received."
"8816","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","DNMT1","P26358","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","headaches","nausea","vomiting","blurred vision","double vision","difficulty walking","poor coordination","speech problems","changes in personality","Adult medulloblastoma is a rare type of brain tumor that occurs in adults. It is a fast-growing tumor that can spread to other parts of the brain and spinal cord.","Adult medulloblastoma symptoms include headaches@ nausea@ vomiting@ blurred vision@ double vision@ difficulty walking@ poor coordination@ speech problems@ and changes in personality.","The exact cause of adult medulloblastoma is unknown. However@ certain genetic factors and environmental exposures may increase the risk of developing this tumor.","Genetic mutations","Exposure to radiation","Exposure to certain chemicals","Weakened immune system","NAN","Surgery","Radiation therapy","Chemotherapy","Avoid exposure to radiation","Avoid exposure to certain chemicals","Maintain a healthy lifestyle","Exposure to radiation","Adults","Genetic predispositions may increase risk","Family history of brain tumors","Variable@ depending on the extent of the tumor and the patient's response to treatment.","Neurological examination@ MRI scan@ CT scan@ biopsy","Hydrocephalus@ seizures@ cognitive impairment@ neurological deficits","Adult medulloblastoma accounts for a small percentage of all brain tumors.","Variable@ depending on the extent of the tumor and the patient's response to treatment."
"8817","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","ERBB2","P04626","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","headache","nausea","vomiting","blurred vision","difficulty walking","clumsiness","double vision","seizures","behavioral changes","Medulloblastoma is a type of cancerous brain tumor that starts in the cerebellum@ the lower back part of the brain that controls movement@ balance and coordination. It is most common in children@ but can also occur in adults.","Symptoms often develop over a short period of time@ usually weeks to months@ and are related to the tumor's location and size.","The exact cause of adult medulloblastoma is unknown. However@ genetic factors may play a role in some cases.","Genetic mutations","Exposure to radiation","NAN","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Regular checkups","Healthy lifestyle","Genetic counseling","Exposure to radiation@ certain genetic conditions","Adults are typically diagnosed between the ages of 20 and 40","Genetic mutations in genes such as PTCH1@ TP53@ and APC","Family history of brain tumors","Severity ranges from slow-growing to highly aggressive.","MRI@ CT scan@ biopsy","Hydrocephalus@ neurological deficits@ recurrence","Relatively rare in adults@ accounting for less than 1% of all adult brain tumors","Varies depending on the type and stage of the tumor@ but overall survival rates are lower in adults than in children"
"1","8818","adult medulloblastoma","A type of medulloblastoma that is diagnosed in adults.","Estrogen receptor beta (ESR2) may play a role in adult medulloblastoma.","43","43","MONDO:0002794","NAN","ESR2","Q92731","DisGeNET","NAN","NAN","NAN","0.3","'1 PubMed IDs'","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","Headache","Nausea","Vomiting","Blurred vision","Double vision","Dizziness","Seizures","Balance problems","Weakness","A type of cancerous brain tumor that starts in the cerebellum.","Symptoms may include headache@ nausea@ vomiting@ blurred or double vision@ dizziness@ seizures@ balance problems@ and weakness.","The exact cause of adult medulloblastoma is unknown@ but genetic factors may play a role.","Genetic mutations","Exposure to radiation","Certain inherited conditions","NAN","NAN","Surgery","Radiation therapy","Chemotherapy","Maintain a healthy lifestyle","Avoid exposure to radiation","Genetic counseling if there is a family history","Exposure to radiation@ certain inherited conditions@ and genetic mutations.","Adults typically in their 20s or 30s","Genetic mutations in genes such as PTCH1@ TP53@ and APC.","Family history of medulloblastoma or other brain tumors.","The severity of adult medulloblastoma varies depending on the size and location of the tumor.","Neurological examination@ MRI scan@ biopsy.","Hydrocephalus@ neurological deficits@ recurrence.","Adult medulloblastoma is a rare disease@ accounting for less than 1% of all brain tumors.","The prognosis for adult medulloblastoma varies depending on the size and location of the tumor@ as well as the patient's age and overall health."
"8819","405","adult medulloblastoma","A type of medulloblastoma that occurs in adults. Medulloblastoma is a type of brain tumor that originates in the cerebellum.","The protein encoded by this gene is a transcription factor that belongs to the ETS family. It is involved in cell growth, differentiation, and apoptosis.", "43", "43", "MONDO:0002794","NAN","FLI1","Q01543","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","adult medulloblastoma","Headache","Nausea","Vomiting","Blurred vision","Double vision","Dizziness","Seizures","Difficulty with balance","Uncoordination","Adult medulloblastoma is a rare and aggressive brain tumor that originates in the cerebellum. Symptoms can vary depending on the tumor's size and location@ but commonly include headaches@ nausea@ vomiting@ blurred vision@ dizziness@ seizures@ and difficulty with balance and coordination.","Symptoms often arise due to increased pressure within the skull or direct compression of the brainstem and cerebellum.","The exact cause of adult medulloblastoma is not fully understood@ but it is believed to involve a combination of genetic and environmental factors. Mutations in genes involved in cell growth and development can contribute to tumor formation.","Genetic mutations affecting cell growth","Exposure to radiation","Inherited genetic syndromes","Problems in the immune system","Certain environmental factors","Surgery to remove the tumor","Radiation therapy to kill cancer cells","Chemotherapy to kill cancer cells","Regular check-ups to monitor for recurrence","Healthy lifestyle","Avoiding risk factors like radiation exposure","Exposure to radiation","NAN","Genetic predisposition or inherited conditions","Family history of brain tumors","High","MRI and CT scans","Hydrocephalus@ tumor recurrence@ neurological deficits","Rare@ affecting approximately 0.5 per million adults per year","Varies depending on tumor size@ location@ and treatment response","NAN"
"1","8820","adult medulloblastoma","A type of medulloblastoma that primarily affects adults. It is characterized by the presence of neoplastic cells derived from the external granular layer of the cerebellum.","A protein involved in transcriptional repression and tumor suppression.","43","43","MONDO:0002794","NAN","HIC1","Q14526","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","medulloblastoma","headache","nausea","vomiting","blurred vision","dizziness","seizures","difficulty walking","balance problems","cognitive changes","Medulloblastoma is a type of cancerous brain tumor that starts in the cerebellum@ the lower back part of the brain.","Symptoms vary depending on the tumor's size and location@ but commonly include headache@ nausea@ vomiting@ blurred vision@ dizziness@ seizures@ difficulty walking@ balance problems@ and cognitive changes.","Medulloblastoma is thought to arise from genetic mutations that disrupt the normal development of the cerebellum. These mutations can affect various signaling pathways that control cell growth and differentiation.","Genetic mutations in tumor suppressor genes like PTCH1@ TP53@ and APC.","Developmental abnormalities in the cerebellum.","Exposure to certain environmental toxins during pregnancy.","Inherited genetic syndromes such as Gorlin syndrome and Turcot syndrome.","NAN","Surgery to remove as much of the tumor as possible.","Radiation therapy to kill any remaining cancer cells.","Chemotherapy to target cancer cells throughout the body.","Regular checkups and imaging scans to monitor for recurrence.","Avoidance of known risk factors such as exposure to radiation.","Genetic counseling for individuals with a family history of medulloblastoma.","Exposure to radiation@ genetic predisposition@ and certain inherited syndromes.","More common in adults than children@ typically diagnosed between the ages of 20 and 40.","Genetic mutations in tumor suppressor genes and oncogenes can contribute to the development of medulloblastoma.","A family history of medulloblastoma or related cancers may increase the risk.","Medulloblastoma can range from localized tumors to aggressive cancers that spread throughout the brain and spinal cord.","MRI scans@ CT scans@ and biopsy of the tumor tissue.","Hydrocephalus@ neurological deficits@ and recurrence of the tumor.","Medulloblastoma accounts for about 1-2% of all brain tumors in adults.","The prognosis for medulloblastoma depends on several factors@ including the patient's age@ the tumor's size and location@ and the extent of spread. With treatment@ the 5-year survival rate is around 70-80%."
"8821","405","adult medulloblastoma","NAN","NAN","43","43","MONDO:0002794","NAN","MPL","P40238","DisGeNET","NAN","NAN","NAN","0.3","1 PubMed IDs","NAN","NAN","CTD_human","UMLS:C0278876","NAN","medulloblastoma","headache","nausea","vomiting","blurred vision","dizziness","seizures","difficulty with balance","clumsiness","weakness","Medulloblastoma is a type of brain tumor that originates in the cerebellum@ the part of the brain responsible for balance and coordination. Adult medulloblastoma is a rare form of this cancer that occurs in adults.","Symptoms can vary depending on the size and location of the tumor. They may include headache@ nausea@ vomiting@ blurred vision@ dizziness@ seizures@ difficulty with balance@ clumsiness@ and weakness.","The exact causes of adult medulloblastoma are not fully understood@ but it is believed to involve a combination of genetic and environmental factors.","Genetic mutations","Exposure to certain chemicals","Radiation exposure","Viral infections","NAN","Surgery","Radiation therapy","Chemotherapy","Avoiding exposure to known risk factors","Maintaining a healthy lifestyle","Regular check-ups","Exposure to radiation","Genetic predisposition","Family history of brain tumors","NAN","Aggressiveness and spread of the tumor","Neurological examination@ MRI@ CT scan@ biopsy","Hydrocephalus@ neurological deficits@ recurrence of the tumor","Limited data available","Survival rates vary depending on the stage and characteristics of the tumor"
