"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID","GARD Rare"
1,"11-Beta-hydroxylase deficiency",,,1,1,,
2,"12q14 microdeletion syndrome",,,2,2,"MONDO:0019784",1
3,"14q12 microdeletion syndrome",,,1,1,"MONDO:0016833",
4,"15q11q13 microduplication syndrome",,,1,1,"MONDO:0012081",
5,"15q14 microdeletion syndrome",,,1,1,"MONDO:0014822",
6,"15q24 Microdeletion",,,1,1,,
7,"16q24.3 microdeletion syndrome",,,6,6,"MONDO:0016838",1
8,"17-beta hydroxysteroid dehydrogenase 3 deficiency",,,1,1,,
9,"17-Hydroxysteroid Dehydrogenase Deficiency",,,1,1,,
10,"17,20-Lyase Deficiency, Isolated",,,1,1,,
11,"17p11.2 Monosomy",,,1,1,,
12,"17q11.2 microduplication syndrome",,,1,1,"MONDO:0015350",
13,"18-Hydroxylase deficiency",,,1,1,,
14,"1p21.3 microdeletion syndrome",,,1,1,"MONDO:0017405",
15,"1q44 microdeletion syndrome",,,1,1,"MONDO:0016561",1
16,"2-aminoadipic 2-oxoadipic aciduria",,"A metabolic disorder characterized by increased levels of 2-oxoadipate and 2-hydroxyadipate in the urine, and elevated 2-aminoadipate in the plasma. Patients can have mild to severe intellectual disability, muscular hypotonia, developmental delay, ataxia, and epilepsy. Most cases are asymptomatic.",1,1,"MONDO:0008774",
17,"2-hydroxyglutaric aciduria","An amino acid metabolic disorder that is an autosomal recessive neurometabolic disorder characterized by the significant elevation of urinary levels of hydroxyglutaric acid causing progressive brain damage.",,4,4,"MONDO:0016001",1
18,"2-methyl-3-hydroxybutyric aciduria",,,1,1,,
19,"2-methylbutyryl-CoA dehydrogenase deficiency",,"Autosomal recessive disorder and consists of a defect in catabolism of L-isoleucine which is characterized by an increase of 2-methylbutyrylglycine and 2-methylbutyrylcarnitine in blood and urine. Affected individuals have seizures and psychomotor delay as the main clinical features.",1,1,"MONDO:0012392",1
20,"2,8-Dihydroxyadenine Urolithiasis",,,1,1,,
21,"20p12.3 microdeletion syndrome",,,1,1,"MONDO:0016841",1
22,"22q11 Deletion Syndrome",,,10,10,,
23,"22q11 partial monosomy syndrome",,,9,9,,
24,"22q11.2 deletion syndrome",,,16,8,"MONDO:0018923",1
25,"2p21 microdeletion syndrome",,,4,4,"MONDO:0015583",
26,"2q23.1 microdeletion syndrome",,,1,1,"MONDO:0016459",1
